School_Name_EN,Zone_Desc_EN,SchoolGender_EN,School_Category_EN,School_Phone,School_Email
AL-ATHBAH SCHOOL-CYCLE1,DUBAI,Mixed,Public,,ALATHBAH.DXB@moe.gov.ae
UMM SQAIM GIRLS SCHOOL CYCLE 2,DUBAI,Female,Public,043944672,UMMSQAIM.DXB@moe.gov.ae
AL-KUWAIT GIRL S SCHOOL -CYCLE 2,DUBAI,Female,Public,042612500;042615749;0506587878,amna272383@moe.ae
AL-WAHA GIRLS SCHOOL Basic AND SECONDARY EDUCATION,DUBAI,Mixed,Public,,ALWAHA.DXB@moe.gov.ae
"AL-LASEELI SCHOOL CYCLE1,2& SECONDARY EDUCATION",DUBAI,Mixed,Public,042062438,Madeya.BinTouq@ese.gov.ae
HIND BINT MAKTOUM GIRLS' SCHOOL FOR SECONDARY EDUCATION,DUBAI,Female,Public,043940802;043941261,ALSUFOOH.DXB@moe.gov.ae
MAREYA AL-QEBTEYA GIRLS' SCHOOL FOR SECONDARY EDUCATION,DUBAI,Female,Public,042631290;042062462,maryam284987@moe.ae
AL-RAYAH GIRL S SCHOOL FOR SECONDARY EDUCATION,DUBAI,Female,Public,2062480;2062481,oshba274527@moe.ae
SUKAINA BINT ALHUSSEIN GIRLS' SCHOOL FOR SECONDARY EDUCATION,DUBAI,Female,Public,,SUKAINABINTALHUSSEIN.DXB@moe.gov.ae
AL-DHAHRA GIRLS SECANDARY SCHOOL,DUBAI,Female,Public,048523960;04/8521693,fatma270955@moe.ae
ASMA'A BINT AL-NO'AMAN GIRLS' SCHOOL FOR SECONDARY EDUCATION,DUBAI,Female,Public,042062500;042062500,ASMA.DXB@moe.gov.ae
HAMZA BIN ABDUL MUTTALIB,ABU DHABI,Male,Public,025835445,408@moe.gov.ae
Hatta2 School - Cycle1,DUBAI,Mixed,Public,0507455251,fatma275275@moe.ae
AL-ALFIA GIRL S SCHOOL -CYCLE 2,DUBAI,Female,Public,042611120,ALALFIA.DXB@moe.gov.ae
NAD AL-HAMAR GIRLS' SCHOOL- CYCLE 2,DUBAI,Female,Public,,NADALHAMAR.DXB@moe.gov.ae
Al - Mizhar BOYS' School -Cycle1,DUBAI,Mixed,Public,042874030;042062404,ALNUKHBAH.DXB@moe.gov.ae
AL-QIYAM GIRLS SCHOOL CYCLE 2,DUBAI,Female,Public,0509805555,shahla285169@moe.ae
AHMAD BIN RASHED BOY'S SCHOOL -CYCLE 2,DUBAI,Male,Public,042888850;042888502,AHMADBINRASHED.DXB@moe.gov.ae
AAL- MAKTOOM BOYS SCHOOL CYCLE 1,DUBAI,Mixed,Public,042062516;042062517,AMNA296249@MOE.AE
Al-Rashedia Girls' School - Cycle 3,DUBAI,Female,Public,,Un-Known
Al Ahmadiah BOYS' SCHOOL- Cycle 1,DUBAI,Mixed,Public,042651666,Un-Known
Al-Barsha Kindergarten,DUBAI,Mixed,Public,,Un-Known
Alwarqa - KG,DUBAI,Mixed,Public,,Un-Known
AL REFAAH,AL AIN,Mixed,Public,037194072,411@moe.gov.ae
SAAD EBNU OBADAH,ABU DHABI,Mixed,Public,025832563,413@moe.gov.ae
AL RUWAAD,ABU DHABI,Male,Public,025838900,417@moe.gov.ae
DARWISH BIN KARAM,ABU DHABI,Male,Public,025583358,418@moe.gov.ae
Al Huda kindergarten,DUBAI,Mixed,Public,0505815816,Un-Known
Zayed Educational Complex -Al Mizhar,DUBAI,Mixed,Public,,
ABU OBIADA BIN AL JARAH PRIVATE SCHOOL,AJMAN,Mixed,Private,0553900036,abu_obaida_pvt@hotmail.co.uk
AL BADIYAH,AL AIN,Female,Public,037351324,420@moe.gov.ae
AL SAMHA,ABU DHABI,Female,Public,025621332,424@moe.gov.ae
AL NOOR,ABU DHABI,Mixed,Public,025831481,426@moe.gov.ae
AL SARIYAH,AL AIN,Mixed,Public,037346597,427@moe.gov.ae
AL AWAEL KG,AL AIN,Mixed,Public,037194135,432@moe.gov.ae
AL FAROOQ,AL DHAFRA,Male,Public,028826568,438@moe.gov.ae
TARIQ BIN ZIAD,AL AIN,Mixed,Public,037852516,446@moe.gov.ae
AL ASALAH,ABU DHABI,Female,Public,024119207,448@moe.gov.ae
AL KHAMAEL,AL DHAFRA,Mixed,Public,028987126,449@moe.gov.ae
AL-RASHID AL-SALEEH PRIVATE SCHOOL,DUBAI,Mixed,Private,,Un-Known
AL ARQAM PRIVATE SCHOOL,DUBAI,Mixed,Private,043408484;0504703401,alarqam@emirates.net.ae
DUBAI MODERN EDUCATION SCHOOL,DUBAI,Mixed,Private,,Un-Known
ALJAZIRA FOOTBALL ACADEMY,ABU DHABI,Male,Public,25863770,451@moe.gov.ae
AL-SHUROOQ PRIVATE SCHOOL,DUBAI,Mixed,Private,0506978522;04-3449843,Aps@shoruq.sch.ae
NEW WORLD PRIVATE SCHOOL,DUBAI,Mixed,Private,0562745455,Manhalnw365@privatemoe.ae
SAS AL NAKHL,ABU DHABI,Mixed,Public,024119127,453@moe.gov.ae
AL WALEED BIN ABDUL MALEK,ABU DHABI,Male,Public,025837277,454@moe.gov.ae
AL MAQAM,AL AIN,Male,Public,037681956,459@moe.gov.ae
AL NOAYMIA PRIVATE SCHOOL,AJMAN,Mixed,Private,0506970051;067464820,noaymiapvtschool@gmail.com
ATIFAL AL EMARAT KG,ABU DHABI,Mixed,Public,025836848,464@moe.gov.ae
OMAMAH BINT AL HARITH,ABU DHABI,Female,Public,025837481,465@moe.gov.ae
AL TAFAWWOQ (AL AIN),AL AIN,Male,Public,037844575,466@moe.gov.ae
AL TAQADDOM,ABU DHABI,Female,Public,025844780,468@moe.gov.ae
AL ATAA,AL AIN,Mixed,Public,037374530,470@moe.gov.ae
AL ASAYEL,ABU DHABI,Female,Public,025560305,471@moe.gov.ae
AL-TATWEER KINDERGARTEN,DUBAI,Mixed,Public,042062414,Un-Known
AL ERTEQAA,ABU DHABI,Female,Public,024119230,482@moe.gov.ae
AL GHAITH,AL AIN,Mixed,Public,037680669,484@moe.gov.ae
AL RUDWAN KG,ABU DHABI,Mixed,Public,025560803,486@moe.gov.ae
AL MAHA,ABU DHABI,Female,Public,024119197,489@moe.gov.ae
SAAD BIN MOAATH,ABU DHABI,Male,Public,025632500,490@moe.gov.ae
AL AIN MODEL,AL AIN,Female,Public,037620016,492@moe.gov.ae
AL TAAWUN,ABU DHABI,Male,Public,025845029,493@moe.gov.ae
ABDUL QADER AL JAZAERI,ABU DHABI,Male,Public,025632377,494@moe.gov.ae
ABU DHABI SECONDARY,ABU DHABI,Male,Public,024119155,495@moe.gov.ae
AL HEMMAH,AL AIN,Female,Public,037682415,496@moe.gov.ae
HALIMA AL SAADIAH,ABU DHABI,Mixed,Public,024119027,497@moe.gov.ae
MANAR AL IMAN PRIVATE SCHOOL,AJMAN,Mixed,Private,067433899;067434545;0507372761,manaraleman.ps@manar.ae
AL MORJAN KG,ABU DHABI,Mixed,Public,024119517,499@moe.gov.ae
ALDRARY KINDERGARTEN,SHARJAH,Mixed,Public,065385619;0506319935,ALDRARY.SHJ@moe.gov.ae
ALSONDS KINDERGARDEN,SHARJAH,Mixed,Public,065227855;065227245,ALSONDS.SHJ@moe.gov.ae
AL ABRAR K.G,SHARJAH,Mixed,Public,068826821;068828587,ALABRAR.SHJ@moe.gov.ae
ALBRAEM KINDERGARDEN,SHARJAH,Mixed,Public,065077026,ALBRAEM.SHJ@moe.gov.ae
ALSALAM KINDERGARTEN,SHARJAH,Mixed,Public,065386211;065077060,fatima.alali@ese.gov.ae
SHARJAH MODEL GIRLS SCHOOL -CYCLE1,SHARJAH,Mixed,Public,065222680;065222754,SHARJAHMODELGIRLS.SHJ@moe.gov.ae
"Abu Moosa School - Cycle 1, 2, 3",SHARJAH,Mixed,Public,0504629563,Mohamed275343@moe.ae
UM KOLTHOOM,AL AIN,Female,Public,037684300,500@moe.gov.ae
ALGHAFYA BOYS SCHOOL-CYCLE1,SHARJAH,Mixed,Public,065249141,Un-Known
Alarqm School - Cycle 1,SHARJAH,Mixed,Public,0506538866,mariam-a.ibrahim@ese.gov.ae
AL TALEAA,AL AIN,Mixed,Public,037372041,501@moe.gov.ae
Sheikha Meera Bint Mohamed Al - Suwaidi Boys' School -Cycle1,SHARJAH,Mixed,Public,0562180180,mariam269155@moe.ae
WISHAH BOYS SCHOOL -CYCLE 2,SHARJAH,Male,Public,068822477,WISHAH.SHJ@moe.gov.ae
"Nazwa Boys' School - Cycle 2, 3",SHARJAH,Male,Public,0504874004,Noora279772@moe.ae
ABDULLA AL SALEM BOYS SCHOOL -CYCLE2,SHARJAH,Male,Public,,ABDULLAALSALEM.SHJ@moe.gov.ae
ALSAHBA BOYS SCHOOL- CYCLE2,SHARJAH,Male,Public,065077076,Amani502301@moe.ae
ALQARAYEN BOYS' SCHOOL -CYCLE 2,SHARJAH,Male,Public,065077004,Sultana.Mamajboor@ese.gov.ae
AL SOROOR KG,ABU DHABI,Mixed,Public,024119542,502@moe.gov.ae
MUATH BIN JABAL SECONDARY SCHOOL FOR BOYS,SHARJAH,Male,Public,,Un-Known
AL KHALIDEIAH BOYS' SCHOOL CYCLE2 & SECONDARY EDUCATION,SHARJAH,Male,Public,065077062,hamad281557@moe.ae
DHAID SECONDARY SCHOOL FOR BOYS,SHARJAH,Male,Public,0501921927,sedeeq269138@moe.ae
AL AROUBA BOYS SECONDARY SCHOOL,SHARJAH,Male,Public,,ALOROBA.SHJ@moe.gov.ae
Taryam Omran Taryam Secondary For Boys,SHARJAH,Male,Public,065671722;065664455,HALWAN.SHJ@moe.gov.ae
"Al-Bataeh Boys' School - Cycle 2, 3",SHARJAH,Male,Public,,ALRAFEA.SHJ@moe.gov.ae
"Althameed Boys' School - Cycle 2, 3",SHARJAH,Male,Public,065077191,Un-Known
ALNASR PRIVATE SCHOOL,Ras Al Khaimah,Mixed,Private,072239595;0506273740,alnaserschool@hotmail.com
AL MALEIHA BOYS SCHOOL CYCLE2 AND SECONDARY EDUCATION,SHARJAH,Mixed,Public,068838185;0502781878;0506465152;068838015,waleed272345@moe.ae
"Alhamrya Boys' School - Cycle 2, 3",SHARJAH,Male,Public,065077064;0502607007,jasim284628@moe.ae
"Al-Madam Boys' School - Cycle 2, 3",SHARJAH,Male,Public,068821164;068821019,ALMDAM.SHJ@moe.gov.ae
Sheikha Mariam Bint Ghanim Al Shamsi School - Cycle1,SHARJAH,Mixed,Public,065077050;0506262727,amina272000@moe.ae
RABA AL ADWYA SCHOOL - Cycle1,SHARJAH,Mixed,Public,065527799,Fayqa.Almarzooqi@ese.gov.ae
ALMANAR GIRLS SCHOOL -CYCLE2,SHARJAH,Female,Public,065077048,aisha.aljasmi@ese.gov.ae
Al-Nekhailat Girls' School- Cycle2,SHARJAH,Female,Public,065077047,ALNKYLAT.SHJ@moe.gov.ae
AL BRIDI GIRLS SCHOOL CYCLE2 AND SECONDARY EDUCATION,SHARJAH,Female,Public,065077020;0508989077,kulaithem284084@moe.ae
ALKHAN KINDERGARTEN,SHARJAH,Mixed,Public,065077096;0562180180,mariam269155@moe.ae
Al-ANDALUS SCHOOL- CYCLE1,SHARJAH,Mixed,Public,065380136;065381361,ALANDLES.SHJ@moe.gov.ae
KHAWLA BINT THALABA GIRLS SCHOOL CYCLE2 & SECONDARY EDUCATION,SHARJAH,Female,Public,065285740;0506460135;065280206,KHAWLABINTTAHLABA.SHJ@moe.gov.ae
AL SHATHA KG,AL DHAFRA,Mixed,Public,028846190,505@moe.gov.ae
AL SAHWA GIRLS SCHOOL CYCLE1&2 AND SECONDARY EDUCATION,SHARJAH,Mixed,Public,065077174,Noora279772@moe.ae
Al RAMAQIYA GIRLS SCHOOL -CYCLE2,SHARJAH,Female,Public,065077044;0504890246;065077044,houriyeh280070@moe.ae
Al TALA'A GIRLS SCHOOL-CYCLE2,SHARJAH,Female,Public,065077066,aisha-ah.saeed@ese.gov.ae
WASIT GIRLS SECONDARY SCHOOL,SHARJAH,Female,Public,0501777279,khuloud285163@moe.ae
Al RIFA'A SECONDARY GIRLS SCHOOL,SHARJAH,Female,Public,065077018,ALREFA.SHJ@moe.gov.ae
AL WATHBAH,ABU DHABI,Female,Public,025838870,506@moe.gov.ae
RUQYA SECONDARY GIRLS SCHOOL,SHARJAH,Female,Public,065077070;065077070,RUQYA.SHJ@moe.gov.ae
Al Ruwayda School - KG - Cycle 1,SHARJAH,Mixed,Public,,ALRUWAYDA.SHJ@moe.gov.ae
"Althameed Girls' School - Cycle 1, 2, 3",SHARJAH,Mixed,Public,,ALTHAMEEDGIRLS.SHJ@moe.gov.ae
Al-Madam Girls' School Cycle1&2 And Secondary Education,SHARJAH,Mixed,Public,8821183,ALTHAKAFA.SHJ@moe.gov.ae
"Maliha Girls' School - Cycle 1, 2, 3",SHARJAH,Mixed,Public,068838186;068838196,Khuloud-M.alzaabi@ese.gov.ae
AL QALAA KINDERGARTEN & GIRLS' SCHOOL -CYCLE1 &2 AND SECONDARY EDUCATION,SHARJAH,Mixed,Public,065077084;0502944284,MAITHA.SAEED@ESE.GOV.AE
Al-Bataeh Girls' School Cycle 1&2 And Secondary Education,SHARJAH,Mixed,Public,065077471,Un-Known
ALQARAYEN K.G,SHARJAH,Mixed,Public,065577016;065577016,ALQARAYEN.SHJ@moe.gov.ae
AL ABBAS BIN ABDUL MUTTALIB,AL DHAFRA,Male,Public,028987086,507@moe.gov.ae
SHARJAH MODEL BOYS SCHOOL -CYCLE1,SHARJAH,Mixed,Public,065077032;065077032,amna270346@moe.ae
AL NOUF GIRLS SCHOOL -CYCLE2,SHARJAH,Female,Public,065584644,Alnouf.shj@moe.gov.ae
AL-MAJD BOYS SCHOOL-CYCLE2,SHARJAH,Male,Public,065222994,ALMAJD.SHJ@moe.gov.ae
ASMAA SCHOOL CYCLE1 & KINDERGARTEN,SHARJAH,Mixed,Public,065077008,fatam273797@moe.ae
Al-Rafeea - KG,SHARJAH,Mixed,Public,065311349;065311340,ALRAFEEA.SHJ@moe.gov.ae
Al-Thameed - KG,SHARJAH,Mixed,Public,065077164,Asma.Ahmad@ese.gov.ae
MODEL SECONDARY SCHOOL FOR BOYS,SHARJAH,Male,Public,065077036,MODELSECONDARYSCHOOL.SHJ@moe.gov.ae
Al Hisn - KG,SHARJAH,Mixed,Public,068822384;065077162,amal278849@moe.ae
AL NOOR KINDERGARTEN,SHARJAH,Mixed,Public,065077072,ALNOOR.SHJ@moe.gov.ae
Al-Madam - KG,SHARJAH,Mixed,Public,,ALMADAM.SHJ@moe.gov.ae
ALQARAYEN SCHOOL- CYCLE 1,SHARJAH,Mixed,Public,,Un-Known
AL ZALLAQAH,ABU DHABI,Female,Public,024119757,509@moe.gov.ae
Maliha - KG,SHARJAH,Mixed,Public,,Un-Known
ALJAZEERA - HOME STUDY,ABU DHABI,Mixed,Continuous,025046650;0553557756,513@moe.gov.ae
AL ZAYEDIYYAH FOR GIRLS,AL AIN,Female,Public,037194627,517@moe.gov.ae
AL HOSN,ABU DHABI,Male,Public,025844860;0504199910,518@ese.gov.ae
KHALED BIN AL WALEED,AL AIN,Male,Public,037194772,520@moe.gov.ae
AL BAWADI,ABU DHABI,Male,Public,025824840,522@moe.gov.ae
UM AL EMARAT (AL AIN),AL AIN,Female,Public,037846900,523@moe.gov.ae
SHAMMA BINT MOHAMMAD,AL AIN,Mixed,Public,037194012,525@moe.gov.ae
AL MOTTAHIDA,AL DHAFRA,Female,Public,028744220,526@moe.gov.ae
TAHNOON BIN MOHAMMAD,AL AIN,Male,Public,037810784,527@moe.gov.ae
AL BEDAA,AL AIN,Male,Public,037341550,533@moe.gov.ae
NAHEL,AL AIN,Mixed,Public,037194067,535@moe.gov.ae
AL DHABIANIAH,ABU DHABI,Mixed,Public,024479003,537@moe.gov.ae
UM AL FADHEL BINT AL HARETH,AL AIN,Female,Public,037194742,539@moe.gov.ae
AL RESALAH,AL AIN,Mixed,Public,037331106,542@moe.gov.ae
AL BOROOJ,AL AIN,Mixed,Public,037839973,543@moe.gov.ae
AL FALAHIYYA,ABU DHABI,Male,Public,025621020,544@moe.gov.ae
AISHAH BINT ABI BAKER,ABU DHABI,Female,Public,026587403,548@moe.gov.ae
AL SHAMKHA KG,ABU DHABI,Mixed,Public,025843550,550@moe.gov.ae
Fatma Alzahraa Girls Secondary,SHARJAH,Female,Public,065077012;0509872107,Un-Known
ATFAL AD KG,ABU DHABI,Mixed,Public,024558011,552@ese.gov.ae
AL MARFAA,AL DHAFRA,Mixed,Public,0543444669;028987146,554@moe.gov.ae
AL SAWSAN KG,AL AIN,Mixed,Public,037834499,556@moe.gov.ae
AL FALAH KG,ABU DHABI,Mixed,Public,025844472,557@moe.gov.ae
Zayed Educational Complex Complex Cycle2 & Secondary -ALQata,SHARJAH,Mixed,Public,,
AL RUWAD PRIVATE SCHOOL,Ras Al Khaimah,Mixed,Private,072664663;0505753290,nedaaalislam@outlook.com
ALZAWRA'A KINDERGARTEN,AJMAN,Mixed,Public,067039820,fatma269736@moe.ae
AL- HAYAH KINDERGARTEN,AJMAN,Mixed,Public,067465441,ALHAYAH.AJM@moe.gov.ae
MZEIRE'A kindergarten,AJMAN,Mixed,Public,0506178188,Shaikha-K.Alkaabi@ese.gov.ae
Al-Manama - KG,AJMAN,Mixed,Public,067039858;0506336373,mona290591@moe.ae
Msfoot kindergarten,AJMAN,Mixed,Public,048522073;048522460,ALYAQOOT.AJM@moe.gov.ae
Umm Ammar Kindergarten,AJMAN,Mixed,Public,067039824;0503129077;0553531332,Un-Known
Mushairif Boys' School - Cycle1,AJMAN,Mixed,Public,,MUSHEIREF.AJM@moe.gov.ae
Al - Jurf Boys' School -Cycle2,AJMAN,Male,Public,067484422;067484433,ALHASANALBASRI.AJM@moe.gov.ae
IBN TAYMIYYAH SCHOOL- CYCLE 1,AJMAN,Mixed,Public,,Un-Known
OMAR BIN ABDALAZIZ BOYS' SCHOOL- Cycle 1,AJMAN,Mixed,Public,067039844,Un-Known
AMMAR BIN YASER SCHOOL- CYCLE1,AJMAN,Mixed,Public,067039872;0507768866,Maryam.saeed@ese.gov.ae
RASHID BIN HUMAID BOYS' SCHOOL- CYCLE 2,AJMAN,Male,Public,0507747994;067039852,mona-am.alhammdi@ese.gov.ae
IBN -AL-HAITHAM BOYS' SCHOOL - CYCLE2,AJMAN,Male,Public,067435606,IBNALHAITHAM.AJM@moe.gov.ae
AL-NO'MAN BIN BASHEER BOYS' SCHOOL - CYCLE2,AJMAN,Male,Public,067433196;067437677,ALNOMANBINBASHEER.AJM@moe.gov.ae
AL-RASHEDIA BOYS' SCHOOL FOR SECONDARY EDUCATION,AJMAN,Male,Public,7493212;067039800,Un-Known
ABU SAEED AL-KHODREY BOYS' SCHOOL CYCLE2 & SECONDARY EDUCATION,AJMAN,Male,Public,067039870,Un-Known
"Ben Hazm Boys' School - Cycle 1, 2, 3",AJMAN,Male,Public,067039856;067039856,IBNHAZMBOYS.AJM@moe.gov.ae
THE SCIENTIFIC INSTITUTE BOYS' FOR SECONDARY EDUCATION,AJMAN,Male,Public,067435351;067438670,Un-Known
AL-NOAIMEYAH SCHOOL - CYCLE 1,AJMAN,Mixed,Public,067431255;067437887,FATEMAAALZAHRA.AJM@moe.gov.ae
SHEIKHAH BINT SAEED SCHOOL -Cycle1,AJMAN,Mixed,Public,067039818,SHEIKHAHBINTSAEED.AJM@moe.gov.ae
Um Ammar School - Cycle1,AJMAN,Mixed,Public,067039822,zainab290763@moe.ae
AL-ZAWRA'A1 GIRLS' SCHOOL - CYCLE 2,AJMAN,Female,Public,,Un-Known
UM AMMAR GIRLS' SCHOOL- CYCLE 2,AJMAN,Female,Public,047433234;047434575,UMAMMAR.AJM@moe.gov.ae
KHADEEJAH GIRLS' SCHOOL - CYCLE 2,AJMAN,Female,Public,067433595;00971508939505;0097167443454,Mariam286722@moe.ae
Al - Zawra'a-2 Girls' School Cycle2,AJMAN,Female,Public,,ALZAWRAA.AJM@moe.gov.ae
ASMA'A BINT OMAIS GIRLS' SCHOOL FOR SECONDARY EDUCATION,AJMAN,Female,Public,067437447;0506341485;7433797,Asys275279@moe.ae
Al - Zawra'a Girls' School for Secondary Education,AJMAN,Female,Public,067404440,SAWDAHBINTZAMAH.AJM@moe.gov.ae
AJMAN GIRLS' SCHOOL FOR SECONDARY EDUCATION,AJMAN,Female,Public,067433861,AJMANGIRLSSCHOOL.AJM@moe.gov.ae
FUJAIRAH ISLAMIC SCIENTIFIC ACADEMY,AL FUJAIRAH,Mixed,Private,092225604,acd_fuj@yahoo.com
AL-NOAIMEYAH GIRLS' SCHOOL CYCLE 1&2 AND SECONDARY EDUCATION,AJMAN,Mixed,Public,,ALNOAIMEYAH.AJM@moe.gov.ae
Masfout Girls' School - Cycle2,AJMAN,Mixed,Public,067039866;067039866,Fatima276741@moe.ae
HOMAID BIN ABDUL-AZIZ BOYS' SCHOOL FOR SECONDARY EDUCATION,AJMAN,Male,Public,,HOMAIDBINABDULAZIZ.AJM@moe.gov.ae
Rashid Bin Humaid - KG,AJMAN,Mixed,Public,067039840,ALBAHJAH.AJM@moe.gov.ae
SHEIKHAH BINT SAEED GIRLS SCHOOL FOR SECONDARY EDUCATION,AJMAN,Female,Public,,ALJURF.AJM@moe.gov.ae
KHAWLA BENT THAALABA SCHOOL-CYCLE 1,AJMAN,Mixed,Public,067493818;067493024,KHAWLABENTTHAALABA.AJM@moe.gov.ae
YANABEE AL MARIFA PRIVATE SCHOOL,AL FUJAIRAH,Mixed,Private,092442700;092447200;092447100,management@ymps.ae
AL REEM,ABU DHABI,Female,Public,024472703,641@moe.gov.ae
AL MAZOON KG,ABU DHABI,Mixed,Public,025848998,643@moe.gov.ae
THE PRIVATE NATIONAL CHARITY SCHOOL- AJMAN,AJMAN,Mixed,Private,0566251132;0566251132,rola.mohemad@al-majid.com
AL AGHSAAN KINDERGARTEN,Umm Al Quwain,Mixed,Public,067068736,ALAGHSAAN.UAQ@moe.gov.ae
Umm Al Quwain - KG,Umm Al Quwain,Mixed,Public,067649445;0563604047;0566069780,Un-Known
Al-Ma'alla Kindergarten,Umm Al Quwain,Mixed,Public,067068741;0504672727,ALKAWTHAR.UAQ@moe.gov.ae
Al Narjis - KG,Umm Al Quwain,Mixed,Public,0562337889,Un-Known
sheikh rashid bin saied Isamic Institue,DUBAI,Mixed,Private,,admin@rid.ae
NATIONAL CHARITY SCHOOL BOYS - DUBAI,DUBAI,Mixed,Private,,Un-Known
NATIONAL CHARITY SCHOOL GIRLS - DUBAI,DUBAI,Mixed,Private,,Un-Known
Umm Al Quwain School - Cycle 1,Umm Al Quwain,Mixed,Public,067662566,ALWATAN.UAQ@moe.gov.ae
AL-AMAL SCHOOL FOR The DEAF,SHARJAH,Mixed,Private,,Un-Known
ALQIMMA PRIVATE SCHOOL,SHARJAH,Mixed,Private,092370611;092371567,Un-Known
KHORFAKKAN PRIVATE SCHOOL,SHARJAH,Mixed,Private,092371102;092384441,Un-Known
Umm Al Quwain Boys' School - Cycle 2,Umm Al Quwain,Male,Public,,Mooza.Muftah@ese.gov.ae
HATEM AL-TA'EE BOYS' SCHOOL CYCLE2 AND SECONDARY EDUCATION,Umm Al Quwain,Male,Public,068824824;068811446,HATEMALTAEE.UAQ@moe.gov.ae
"Al-Raefah Boys' School - Cycle 2, 3",Umm Al Quwain,Male,Public,067681341;7681002,ALRAEFAH.UAQ@moe.gov.ae
Al-Ameer Boys' School - Cycle 3,Umm Al Quwain,Male,Public,067667660;067662744,ALAMEER.UAQ@moe.gov.ae
AL MANAMA CHARITY SCHOOL,AJMAN,Mixed,Private,0506490309,Manamaschool@gmail.com
AL IMAN PRIVATE SCHOOL - DUBAI,DUBAI,Mixed,Private,,Un-Known
Al Abraq School - Cycle 1,Umm Al Quwain,Mixed,Public,0552226333,warda274612@moe.ae
ISLAMIC SCHOOL FOR TRANING AND EDUCATION,DUBAI,Mixed,Private,0551757057;0505543250;0507168881,school@sslootah.com
AL MA'MOURAH BOYS' (( PARENT COUNCIL CLASSES)),Ras Al Khaimah,Male,Private,,Un-Known
AL-ME'AIREEDH GIRLS' (( PARENT COUNCIL CLASSES)),Ras Al Khaimah,Female,Private,0503727001,Admin.70175@privatemoe.ae
Bint Al Shaat'e School - Cycle 1,Umm Al Quwain,Mixed,Public,,BINTALSHAATE.UAQ@moe.gov.ae
UMM AL QUWAIN GIRLS' SCHOOL CYCLE 2 AND SECONDARY EDUCATION,Umm Al Quwain,Female,Public,067652424,Un-Known
FALAJ-AL-MUALLA GIRLS' SCHOOL CYCLE 2 AND SECONDARY EDUCATION,Umm Al Quwain,Mixed,Public,0506000135;068824508,FALAJALMUALLA.UAQ@moe.gov.ae
"Al-Salamah Girls' School - Cycle 2, 3",Umm Al Quwain,Female,Public,067671111,ALSALAMAH.UAQ@moe.gov.ae
KHAWLAH BINT HAKEEM KINDERGARTEN & GIRLS' SCHOOL -CYCLE1 &2 AND SECONDARY EDUCATION,Umm Al Quwain,Mixed,Public,067068724,kholood.alshaali@ese.gov.ae
RAK MODERN PRIVATE SCHOOL,Ras Al Khaimah,Mixed,Private,072025900;072365996,rakmodern@hotmail.com
AL MANAR PRIVATE SCHOOL,Ras Al Khaimah,Mixed,Private,0507878026;0505300669;072364642,almanaraymn@hotmail.com
AL YAQEEN PRIVATE SCHOOL,AL FUJAIRAH,Mixed,Private,,lonesomess@hotmail.com
AL-NAHAR KINDER GARTEN,AL FUJAIRAH,Mixed,Public,092024956;092024956,ALNAHAR.FUJ@moe.gov.ae
AL-ANFAL KINDER GARTEN,AL FUJAIRAH,Mixed,Public,092024960,alanfalkinder.fuj@moe.gov.ae
AL-SHARQ KINDERGARTEN,AL FUJAIRAH,Mixed,Public,0505895365,ALSHARQ.FUJ@moe.gov.ae
AL-RAHMAN KINDERGARTEN,AL FUJAIRAH,Mixed,Public,0507895567,ALRAHMAN.FUJ@moe.gov.ae
AL-SHAHAD KINDER GARTEN,AL FUJAIRAH,Mixed,Public,092024777;0507275755,fatima.alnaqbi@ese.gov.ae
AL-INSHERAH KINDER GARTEN,AL FUJAIRAH,Mixed,Public,092024986;092024986;0502922777,jameela.alhmoudi@ese.gov.ae
AL-IKHLAS KINDER GARTEN,AL FUJAIRAH,Mixed,Public,092360635;092360174,ALIKHLAS.FUJ@moe.gov.ae
"Al- Shuhada- 2 Kindergarten, School Cycle1&2",AL FUJAIRAH,Mixed,Public,092773766;0552080885;092777253,kasiba272663@moe.ae
Roumaitha Al-Ansariah School - Cycle 1,AL FUJAIRAH,Mixed,Public,092024948;0507924477,Un-Known
MOHAMMED BIN HAMAD AL-SHARQI SCHOOL -CYCLE1,AL FUJAIRAH,Mixed,Public,09/2024916,SAKAMKM.FUJ@moe.gov.ae
ALNUMAN BIN MUQRIN BOYS SCHOOL -CYCLE2,AL FUJAIRAH,Male,Public,092024777,ALNUMANBINMUQRIN.FUJ@moe.gov.ae
AL-HALAH SCHOOL - Cycle1,AL FUJAIRAH,Mixed,Public,09202484,Un-Known
AL-BIDIYA BOYS SCHOOL CYCLE 1&2,AL FUJAIRAH,Male,Public,092388205;0507999045;092388583,ALBIDIYA.FUJ@moe.gov.ae
SA'AD IBN ABI WAQAS BOYS SCHOOL- CYCLE2,AL FUJAIRAH,Male,Public,092441471;092444703,SAADIBNABIWAQAS.FUJ@moe.gov.ae
AL-BATHNAH SCHOOL -CYCLE1,AL FUJAIRAH,Mixed,Public,092568262,ALBATHNAH.FUJ@moe.gov.ae
SAIF IBN HAMAD AL-SHARQI SECONDARY BOYS SCHOOL,AL FUJAIRAH,Male,Public,092024962;0506639432,Abdulla.Alhadoury@ese.gov.ae
Mohammed bin Hamad Al Sharqi Boys' School- Cycle2,AL FUJAIRAH,Male,Public,092024924,jawahir.balrehaif@ese.gov.ae
